Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢),Scraped_Date
21/10/2024,CAL,0.5,0.28,0.28,0.28,0.28,0.28,0.0,0.26,0.28,830.0,232.4,2025-08-23 18:33:27
21/10/2024,CLYD,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.03,0.0,5645.0,169.35,2025-08-23 18:33:27
21/10/2024,CMLT,0.12,0.1,0.12,0.12,0.12,0.12,0.0,0.12,0.0,0.0,0.0,2025-08-23 18:33:27
21/10/2024,CPC,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.0,500.0,10.0,2025-08-23 18:33:27
21/10/2024,DASPHARMA,0.4,0.33,0.38,0.38,0.38,0.38,0.0,0.0,0.38,21.0,7.98,2025-08-23 18:33:27
21/10/2024,EGH,6.2,5.48,6.1,6.1,6.1,6.1,0.0,6.1,0.0,0.0,0.0,2025-08-23 18:33:27
21/10/2024,EGL,2.39,1.32,1.99,1.99,1.99,1.99,0.0,0.0,1.99,106.0,210.94,2025-08-23 18:33:27
21/10/2024,ETI,0.18,0.15,0.18,0.18,0.18,0.18,0.0,0.19,0.0,65.0,12.35,2025-08-23 18:33:27
21/10/2024,FML,3.7,3.19,3.5,3.5,3.5,3.5,0.0,3.5,3.7,212.0,742.0,2025-08-23 18:33:27
21/10/2024,GCB,6.15,3.4,6.15,6.15,6.15,6.15,0.0,6.15,0.0,1319.0,8111.85,2025-08-23 18:33:27
21/10/2024,GGBL,5.16,3.4,4.7,4.7,4.7,4.7,0.0,0.0,4.7,50.0,235.0,2025-08-23 18:33:27
21/10/2024,GOIL,1.51,1.5,1.51,1.51,1.51,1.51,0.0,1.51,1.59,4.0,6.04,2025-08-23 18:33:27
21/10/2024,MAC,5.38,5.38,5.38,5.38,5.38,5.38,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
21/10/2024,MTNGH,2.43,1.39,2.15,2.15,2.16,2.16,0.01,2.15,2.16,7004.0,15093.83,2025-08-23 18:33:27
21/10/2024,PBC**,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
21/10/2024,RBGH,0.6,0.48,0.6,0.6,0.6,0.6,0.0,0.62,0.0,0.0,0.0,2025-08-23 18:33:27
21/10/2024,SCB,22.1,17.53,22.1,22.1,22.1,22.1,0.0,23.0,0.0,0.0,0.0,2025-08-23 18:33:27
21/10/2024,SIC,0.25,0.24,0.25,0.25,0.25,0.25,0.0,0.0,0.25,6.0,1.5,2025-08-23 18:33:27
21/10/2024,SOGEGH,1.57,1.5,1.5,1.5,1.5,1.5,0.0,1.5,0.0,0.0,0.0,2025-08-23 18:33:27
21/10/2024,TBL,0.83,0.82,0.83,0.83,0.83,0.83,0.0,0.83,0.0,0.0,0.0,2025-08-23 18:33:27
21/10/2024,TOTAL,12.66,9.0,12.66,12.66,12.66,12.66,0.0,12.7,0.0,0.0,0.0,2025-08-23 18:33:27
21/10/2024,TLW,11.92,11.92,11.92,11.92,11.92,11.92,0.0,0.0,11.92,6.0,71.52,2025-08-23 18:33:27
21/10/2024,UNIL,16.5,8.11,16.5,16.5,16.5,16.5,0.0,0.0,16.5,2.0,33.0,2025-08-23 18:33:27
21/10/2024,AADS,0.41,0.41,0.41,0.41,0.41,0.41,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
Daily Date,Share Code,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
21/10/2024,CALPREF,0.29,0.29,0.29,0.29,0.29,0.29,0.0,0.29,0.0,0.0,0.0,2025-08-23 18:33:27
21/10/2024,SCBPREF,0.9,0.9,0.9,0.9,0.9,0.9,0.0,0.9,0.0,0.0,0.0,2025-08-23 18:33:27
21/10/2024,GLD,426.0,218.5,423.81,423.81,426.0,426.0,2.19,426.0,0.0,5549.0,2363899.2,2025-08-23 18:33:27
21/10/2024,SAMBA,0.55,0.55,0.55,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
21/10/2024,MMH,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
21/10/2024,HORDS,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,2025-08-23 18:33:27
21/10/2024,IIL,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.05,0.0,0.0,2025-08-23 18:33:27
21/10/2024,DIGICUT,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
18/10/2024,ACCESS,4.8,3.4,4.32,4.32,4.32,4.32,0.0,4.32,0.0,30.0,129.6,2025-08-23 18:33:27
18/10/2024,ADB,5.06,5.06,5.06,5.06,5.06,5.06,0.0,5.06,0.0,0.0,0.0,2025-08-23 18:33:27
18/10/2024,AGA,37.0,37.0,37.0,37.0,37.0,37.0,0.0,37.0,0.0,0.0,0.0,2025-08-23 18:33:27
18/10/2024,**ALW**,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,2025-08-23 18:33:27
18/10/2024,ASG,8.89,8.89,8.89,8.89,8.89,8.89,0.0,8.89,0.0,0.0,0.0,2025-08-23 18:33:27
18/10/2024,ALLGH,6.15,4.4,6.15,6.15,6.15,6.15,0.0,0.0,6.14,350.0,2149.0,2025-08-23 18:33:27
